District,Male,Female,Population with Disability,Percentage of PWDs
Kathmandu,9144,7978,17122,0.98
Morang,9494,7559,17053,1.77
Kailali,8143,7235,15378,1.98
Jhapa,8466,6910,15376,1.89
Chitwan,6973,5964,12937,2.23
Dang,6860,6021,12881,2.33
Bara,6577,5072,11649,1.69
Nawalparasi,6022,4851,10873,1.69
Sunsari,5800,4609,10409,1.36
Surkhet,5619,4672,10291,2.93
Mahottari,5754,4412,10166,1.62
Rupandehi,5573,4317,9890,1.12
Sarlahi,5588,3997,9585,1.25
Kaski,4982,4237,9219,1.87
Kanchanpur,4830,4242,9072,2.01
Rautahat,5126,3572,8698,1.27
Siraha,4875,3790,8665,1.36
Achham,4411,4191,8602,3.34
Makwanpur,4676,3791,8467,2.01
Dhanusa,4781,3631,8412,1.11
Bardiya,4377,3820,8197,1.92
Saptari,4601,3443,8044,1.26
Dhading,4264,3563,7827,2.33
Baitadi,4193,3595,7788,3.1
Udayapur,4195,3586,7781,2.45
Gulmi,4215,3456,7671,2.74
Ilam,4208,3428,7636,2.63
Dailekh,4179,3428,7607,2.91
Banke,4226,3242,7468,1.52
Rolpa,3883,3575,7458,3.32
Kapilbastu,4173,3160,7333,1.28
Doti,3583,3719,7302,3.45
Jajarkot,3709,3139,6848,4
Kavrepalanchok,3576,3094,6670,1.75
Sindhupalchok,3692,2916,6608,2.3
Palpa,3590,2947,6537,2.5
Sindhuli,3495,2971,6466,2.18
Gorkha,3324,2945,6269,2.31
Salyan,3413,2820,6233,2.57
Parsa,3676,2539,6215,1.03
Baglung,3352,2827,6179,2.3
Tanahu,3344,2824,6168,1.91
Myagdi,3119,3003,6122,5.39
Pyuthan,3114,2816,5930,2.6
Rukum,3135,2787,5922,2.84
Bajura,3224,2671,5895,4.37
Syangja,3132,2582,5714,1.98
Dolakha,2944,2643,5587,2.99
Khotang,3017,2311,5328,2.58
Kalikot,2923,2339,5262,3.84
Arghakhanchi,2782,2383,5165,2.61
Dadeldhura,2742,2408,5150,3.62
Panchthar,2662,2387,5049,2.63
Bajhang,2534,2442,4976,2.55
Lalitpur,2621,2313,4934,1.05
Dhankuta,2670,2211,4881,2.99
Lamjung,2532,2213,4745,2.83
Nuwakot,2592,2098,4690,1.69
Bhojpur,2531,2087,4618,2.53
Ramechhap,2355,2063,4418,2.18
Sankhuwasabha,2217,1837,4054,2.55
Taplejung,2053,1677,3730,2.93
Darchula,2003,1666,3669,2.75
Parbat,1972,1681,3653,2.49
Okhaldhunga,1874,1616,3490,2.36
Jumla,1850,1398,3248,2.98
Bhaktapur,1652,1552,3204,1.05
Tehrathum,1375,1251,2626,2.59
Solukhumbu,1397,1212,2609,2.46
Humla,1315,1096,2411,4.74
Mugu,1066,851,1917,3.47
Dolpa,819,783,1602,4.37
Rasuwa,572,444,1016,2.35
Mustang,223,229,452,3.36
Manang,107,97,204,3.12
